"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[431,22]",0.554763494713369,0.0703618195106443,0.851396655453778,-0.735657904887836,2.01237325317888,146.416410832117,1.00633927878122,431,"Cynthia Lummis"
"alpha[431,23]",0.166184015054326,0.0482676477629724,0.913529173167923,-1.25140307926135,1.74216289823825,358.205765944561,1.00342343090014,431,"Cynthia Lummis"
"alpha[431,24]",0.486980257632994,0.0368799032156987,0.371116801932626,-0.0122913931816653,1.18518956789958,101.260878011707,1.0275019758283,431,"Cynthia Lummis"
"alpha[431,25]",0.301804043407112,0.0547848766526298,0.655878349771637,-0.7024777432373,1.46266545081873,143.326077107156,1.04083591673769,431,"Cynthia Lummis"
"alpha[431,26]",0.416736990653528,0.119609508131201,0.956443863720467,-1.11945170870853,1.91700492592655,63.9421980773743,1.03772405163982,431,"Cynthia Lummis"
"alpha[431,27]",0.015668303992497,0.0727841935629117,0.931931182928342,-1.42435258382246,1.60060839125735,163.943249338563,1.00718094769784,431,"Cynthia Lummis"
"alpha[431,28]",-0.609314212109593,0.0370554487774192,0.340178657625105,-1.16002094912814,0.00122650862010968,84.2771753679724,1.06127188399214,431,"Cynthia Lummis"
"alpha[431,29]",0.186448123397819,0.104644437886157,0.96934351966561,-1.41906658369719,1.78026739353013,85.8070800753074,1.02464234607099,431,"Cynthia Lummis"
"alpha[431,30]",-0.304182464599897,0.545200726682493,0.968161030709456,-1.76868825588085,1.38025385651476,3.1534238200828,1.1815742457508,431,"Cynthia Lummis"
"alpha[431,31]",0.712881603334424,0.0361777124354178,0.533414263899738,0.0514417420556743,1.72362295205344,217.393745436283,1.01151152026095,431,"Cynthia Lummis"
"alpha[431,32]",0.048000896263467,0.0606721651210643,0.900945045328059,-1.46150541294109,1.55338492258262,220.504580786346,1.01110167875189,431,"Cynthia Lummis"
"alpha[432,1]",0.220596285083784,0.0553830197346862,0.937573338365476,-1.35066991479968,1.71667912817512,286.58749355912,1.00761712699405,432,"Tom McClintock"
"alpha[432,2]",-0.171966740169476,0.0617274868693065,0.911045322503523,-1.64227073667824,1.40807466204963,217.832549215051,1.00159577155695,432,"Tom McClintock"
"alpha[432,3]",0.221517881161432,0.071284195609214,0.891462776383847,-1.28188201267152,1.64910727152739,156.393939952016,1.0072706114322,432,"Tom McClintock"
"alpha[432,4]",-0.266726389476286,0.154691921413314,0.801620886152576,-1.62459630042977,1.0649014153721,26.8536163942621,1.05449825175789,432,"Tom McClintock"
"alpha[432,5]",-0.104542446514024,0.623991904895029,0.901458198877877,-1.63809148634562,1.39394148017396,2.08705202433918,1.27592026349545,432,"Tom McClintock"
"alpha[432,6]",0.208500936318481,0.597034624277121,0.929713504212686,-1.2877535865528,1.75717349400079,2.42493019825772,1.22759919090106,432,"Tom McClintock"
"alpha[432,7]",0.283899150953468,0.0512441711856084,0.885959841855678,-1.07565658088106,1.8418181883298,298.909093349978,1.00230897781571,432,"Tom McClintock"
"alpha[432,8]",-0.175946240890192,0.0835111557185272,0.826670212129657,-1.50067650646608,1.20918644697358,97.9886082916127,1.01555653227526,432,"Tom McClintock"
"alpha[432,9]",0.576329212590336,0.0761905823341208,0.680135480534857,-0.403705399664318,1.80961217444227,79.6871466808739,1.03196469628299,432,"Tom McClintock"
